model,dataflow,array,ifmap_share,weight_share,psum_share
LeNet-5,WS,32x32,0.3396164238511733,0.32076715229765346,0.3396164238511733
LeNet-5,WS,64x64,0.29316348354610366,0.41367303290779267,0.29316348354610366
LeNet-5,WS,128x128,0.2386956200821352,0.5226087598357296,0.2386956200821352
LeNet-5,WS,256x256,0.18775845127269117,0.6244830974546176,0.18775845127269117
LeNet-5,WS,512x512,0.13540380022151846,0.7291923995569631,0.13540380022151846
LeNet-5,IS,32x32,0.5399371011206752,0.1485512781582592,0.3115116207210657
LeNet-5,IS,64x64,0.6205185056996609,0.12253207366436232,0.2569494206359767
LeNet-5,IS,128x128,0.7152568206772004,0.09194169609913133,0.19280148322366825
LeNet-5,IS,256x256,0.8054795793122191,0.06280936191864421,0.13171105876913666
LeNet-5,IS,512x512,0.858996970558372,0.04552894897363741,0.0954740804679906
LeNet-5,OS,32x32,0.38263632927353475,0.18246868496204477,0.4348949857644205
LeNet-5,OS,64x64,0.36652267226003044,0.17478452749909337,0.45869280024087616
LeNet-5,OS,128x128,0.350320113703622,0.167057975348592,0.48262191094778595
LeNet-5,OS,256x256,0.3248503754206955,0.15491216143793549,0.520237463141369
LeNet-5,OS,512x512,0.2852323075574046,0.13601940037294025,0.5787482920696552
Cifar-10 CNN,WS,32x32,0.2915770960383615,0.41684580792327697,0.2915770960383615
Cifar-10 CNN,WS,64x64,0.23300489352763906,0.5339902129447218,0.23300489352763906
Cifar-10 CNN,WS,128x128,0.17072214467641245,0.6585557106471751,0.17072214467641245
Cifar-10 CNN,WS,256x256,0.11124829157775622,0.7775034168444875,0.11124829157775622
Cifar-10 CNN,WS,512x512,0.06679949908773256,0.8664010018245349,0.06679949908773256
Cifar-10 CNN,IS,32x32,0.5718921323266203,0.15353027507603262,0.27457759259734704
Cifar-10 CNN,IS,64x64,0.661833967516418,0.12127486530610965,0.21689116717747242
Cifar-10 CNN,IS,128x128,0.76088961733623,0.08575101182656157,0.1533593708372085
Cifar-10 CNN,IS,256x256,0.8446343252475155,0.05571804814463493,0.09964762660784962
Cifar-10 CNN,IS,512x512,0.8839522493372423,0.04161764925750259,0.07443010140525519
Cifar-10 CNN,OS,32x32,0.3702929897160122,0.20704961403458366,0.4226573962494041
Cifar-10 CNN,OS,64x64,0.35877676514225987,0.2006103080813176,0.4406129267764225
Cifar-10 CNN,OS,128x128,0.3415683615596185,0.1909882157952341,0.46744342264514743
Cifar-10 CNN,OS,256x256,0.3177682261316004,0.17768035150614442,0.5045514223622551
Cifar-10 CNN,OS,512x512,0.2850848873146031,0.1594054371130562,0.5555096755723408
VGG-16,WS,32x32,0.3878946009518954,0.22421079809620925,0.3878946009518954
VGG-16,WS,64x64,0.37249410464075955,0.25501179071848085,0.37249410464075955
VGG-16,WS,128x128,0.34510738876919667,0.3097852224616066,0.34510738876919667
VGG-16,WS,256x256,0.3009856789855805,0.39802864202883903,0.3009856789855805
VGG-16,WS,512x512,0.2406495742587343,0.5187008514825314,0.2406495742587343
VGG-16,IS,32x32,0.45922399789394847,0.17352916908160484,0.3672468330244467
VGG-16,IS,64x64,0.5048026439764453,0.15890347461336338,0.3362938814101914
VGG-16,IS,128x128,0.573909452702584,0.1367278472751952,0.28936270002222086
VGG-16,IS,256x256,0.6656285342608569,0.10729618619972134,0.22707527953942178
VGG-16,IS,512x512,0.7636141169432676,0.07585367270312371,0.16053221035360862
VGG-16,OS,32x32,0.4000557230376657,0.1890318199161858,0.41091245704614854
VGG-16,OS,64x64,0.3956240306144294,0.1869377844210499,0.4174381849645207
VGG-16,OS,128x128,0.3890915963841345,0.18385111958931302,0.4270572840265525
VGG-16,OS,256x256,0.37854738510520797,0.17886883504029638,0.44258377985449565
VGG-16,OS,512x512,0.3623439096294732,0.1712124704846591,0.4664436198858677
