model,dataflow,array,layer,avf,std_avf
LeNet-5,WS,32x32,conv1,0.19771926795580108,0.004981758608399985
LeNet-5,WS,32x32,conv2,0.7377741500829188,0.01005409134604615
LeNet-5,WS,32x32,conv3,0.5026040920914471,0.010251473461377376
LeNet-5,WS,32x32,dense1,0.0772659649122807,0.00620439657504097
LeNet-5,WS,32x32,dense2,0.07239229195283882,0.005393578523667237
LeNet-5,WS,32x32,classifier,0.028743489583333327,0.0026274640802196173
LeNet-5,WS,64x64,conv1,0.04942981698895027,0.0012454396520999963
LeNet-5,WS,64x64,conv2,0.6083525568684723,0.00804914641750641
LeNet-5,WS,64x64,conv3,0.39138859953703703,0.006873736684955819
LeNet-5,WS,64x64,dense1,0.07301082024432809,0.006140098839713725
LeNet-5,WS,64x64,dense2,0.05425106612888315,0.004223039143472501
LeNet-5,WS,64x64,classifier,0.012363885038642471,0.0011568830907551142
LeNet-5,WS,128x128,conv1,0.012357454247237568,0.00031135991302499907
LeNet-5,WS,128x128,conv2,0.23859327936746985,0.0030434824707157764
LeNet-5,WS,128x128,conv3,0.15190760849367144,0.002290764457492138
LeNet-5,WS,128x128,dense1,0.0691568748711606,0.005919981207895707
LeNet-5,WS,128x128,dense2,0.04940724240643437,0.003933208488912628
LeNet-5,WS,128x128,classifier,0.004791604597016243,0.0004780077039545543
LeNet-5,WS,256x256,conv1,0.003089363561809392,7.783997825624977e-05
LeNet-5,WS,256x256,conv2,0.08595625435902626,0.0010229847937476084
LeNet-5,WS,256x256,conv3,0.05851130360163563,0.0006889029594280866
LeNet-5,WS,256x256,dense1,0.033488220428792695,0.0028819126523452203
LeNet-5,WS,256x256,dense2,0.012351810601608592,0.000983302122228157
LeNet-5,WS,256x256,classifier,0.0011979011492540608,0.00011950192598863857
LeNet-5,WS,512x512,conv1,0.000772340890452348,1.9459994564062442e-05
LeNet-5,WS,512x512,conv2,0.0338806252895902,0.0003901498842711225
LeNet-5,WS,512x512,conv3,0.023459211037626323,0.00019283553804913658
LeNet-5,WS,512x512,dense1,0.01638754045307443,0.0014158021909235802
LeNet-5,WS,512x512,dense2,0.003087952650402148,0.00024582553055703925
LeNet-5,WS,512x512,classifier,0.0002994752873135152,2.9875481497159643e-05
LeNet-5,IS,32x32,conv1,0.10924324299942262,0.0020824441296083086
LeNet-5,IS,32x32,conv2,0.43669152406626033,0.004737159776266468
LeNet-5,IS,32x32,conv3,0.35139818264042183,0.0065706149889616355
LeNet-5,IS,32x32,dense1,0.01858848167539267,0.00025451186900367774
LeNet-5,IS,32x32,dense2,0.016775572208049885,0.00021279672475773683
LeNet-5,IS,32x32,classifier,0.007637219551282051,7.756583971346789e-05
LeNet-5,IS,64x64,conv1,0.045594746028862126,0.0007489188605651142
LeNet-5,IS,64x64,conv2,0.31273162543762667,0.0027928031516794823
LeNet-5,IS,64x64,conv3,0.268310245466821,0.004134011930555028
LeNet-5,IS,64x64,dense1,0.00761516339869281,9.53171901562793e-05
LeNet-5,IS,64x64,dense2,0.0066335129097551335,7.412587331608347e-05
