model,dataflow,array,mean_utilization,std_utilization,image_count
LeNet-5,WS,32x32,0.9804099441393087,2.220446049250313e-16,100
LeNet-5,WS,64x64,0.9207160848632365,1.1102230246251565e-16,100
LeNet-5,WS,128x128,0.650480889645381,1.1102230246251565e-16,100
LeNet-5,WS,256x256,0.3032662438919166,0.0,100
LeNet-5,WS,512x512,0.14724093365026228,2.7755575615628914e-17,100
LeNet-5,IS,32x32,0.7256332836678139,2.220446049250313e-16,100
LeNet-5,IS,64x64,0.5865267984702067,0.0,100
LeNet-5,IS,128x128,0.4158250043211354,1.1102230246251565e-16,100
LeNet-5,IS,256x256,0.24411871388186188,8.326672684688674e-17,100
LeNet-5,IS,512x512,0.11449076566829071,4.163336342344337e-17,100
LeNet-5,OS,32x32,0.6965605694819904,1.1102230246251565e-16,100
LeNet-5,OS,64x64,0.5418623744699669,0.0,100
LeNet-5,OS,128x128,0.26252047040877396,0.0,100
LeNet-5,OS,256x256,0.09533709641502928,1.3877787807814457e-17,100
LeNet-5,OS,512x512,0.03576832966249072,6.938893903907228e-18,100
Cifar-10 CNN,WS,32x32,0.990169232033867,0.0,100
Cifar-10 CNN,WS,64x64,0.910897246754304,1.1102230246251565e-16,100
Cifar-10 CNN,WS,128x128,0.7610900052494389,1.1102230246251565e-16,100
Cifar-10 CNN,WS,256x256,0.6045231802716036,1.1102230246251565e-16,100
Cifar-10 CNN,WS,512x512,0.45512207881680267,0.0,100
Cifar-10 CNN,IS,32x32,0.5869910811117557,0.0,100
Cifar-10 CNN,IS,64x64,0.46691996642837647,5.551115123125783e-17,100
Cifar-10 CNN,IS,128x128,0.35199731584034694,5.551115123125783e-17,100
Cifar-10 CNN,IS,256x256,0.233440268977949,8.326672684688674e-17,100
Cifar-10 CNN,IS,512x512,0.11338403995966786,0.0,100
Cifar-10 CNN,OS,32x32,0.40934323331807415,5.551115123125783e-17,100
Cifar-10 CNN,OS,64x64,0.2337622777291594,5.551115123125783e-17,100
Cifar-10 CNN,OS,128x128,0.12021432725305091,4.163336342344337e-17,100
Cifar-10 CNN,OS,256x256,0.05823138243506599,0.0,100
Cifar-10 CNN,OS,512x512,0.026616654648936783,6.938893903907228e-18,100
VGG-16,WS,32x32,0.9991906906671664,1.1102230246251565e-16,20
VGG-16,WS,64x64,0.9967649172597592,1.1102230246251565e-16,20
VGG-16,WS,128x128,0.9559058217485857,3.3306690738754696e-16,20
VGG-16,WS,256x256,0.8871007484262817,1.1102230246251565e-16,20
VGG-16,WS,512x512,0.7884596276835327,1.1102230246251565e-16,20
VGG-16,IS,32x32,0.8442884397398871,2.220446049250313e-16,20
VGG-16,IS,64x64,0.7689265614339588,1.1102230246251565e-16,20
VGG-16,IS,128x128,0.6830780917547508,1.1102230246251565e-16,20
VGG-16,IS,256x256,0.5919533350546414,1.1102230246251565e-16,20
VGG-16,IS,512x512,0.4834547105406634,1.1102230246251565e-16,20
VGG-16,OS,32x32,0.7975633790725508,1.1102230246251565e-16,20
VGG-16,OS,64x64,0.6676208673957222,1.1102230246251565e-16,20
VGG-16,OS,128x128,0.47727143312983245,0.0,20
VGG-16,OS,256x256,0.29118909885198363,0.0,20
VGG-16,OS,512x512,0.15578641824967873,2.7755575615628914e-17,20
